Metric,2018,2019,2020,2021,2022
Sales," 1,477,408,000.00 "," 1,296,253,000.00 "," 1,156,103,000.00 "," 1,466,670,000.00 "," 1,466,488,000.00 "
Cost of Goods Sold," 976,149,000.00 "," 1,311,758,000.00 "," 1,101,040,000.00 "," 1,364,662,000.00 "," 1,128,800,000.00 "
Gross Profit ," 501,259,000.00 ","-15,505,000.00 "," 55,063,000.00 "," 102,008,000.00 "," 337,688,000.00 "
Profit," 166,405,000.00 ","-125,665,000.00 "," 19,437,000.00 "," 7,065,000.00 "," 214,016.00 "
Inventories," 169,567,000.00 "," 195,099,000.00 "," 259,994,000.00 "," 219,073,000.00 "," 201,331,000.00 "
Trade and Other Receivables," 767,474,000.00 "," 138,751,000.00 "," 206,526,000.00 "," 177,283,000.00 "," 122,458,000.00 "
Cash and Bank Balances," 141,961,000.00 "," 111,537,000.00 "," 56,283,000.00 "," 458,161,000.00 "," 582,315,000.00 "
Total Current Assets ," 1,096,632,000.00 "," 872,389,000.00 "," 875,728,000.00 "," 871,626,000.00 "," 908,375,000.00 "
Total Assets ," 2,489,043,000.00 "," 2,033,173,000.00 "," 1,942,002,000.00 "," 2,081,705,000.00 "," 2,149,080,000.00 "
Short Term Borrowings, -   , -   , -   , -   , -   
Trade and Other Payables," 270,742,000.00 "," 152,319,000.00 "," 160,219,000.00 "," 149,421,000.00 "," 117,707,000.00 "
Total Current Liabilities ," 375,599,000.00 "," 193,329,000.00 "," 185,939,000.00 "," 180,948,000.00 "," 150,825,000.00 "
Long Term Borrowings, -   , -   , -   , -   , -   
Total Liabilities ," 817,424,000.00 "," 565,459,000.00 "," 515,111,000.00 "," 595,444,000.00 "," 525,356,000.00 "
Share Capital," 39,120,000.00 "," 39,120,000.00 "," 39,120,000.00 "," 39,120,000.00 "," 39,120,000.00 "
Total Equity," 1,671,619,000.00 "," 1,467,714,000.00 "," 1,426,891,000.00 "," 1,486,261,000.00 "," 1,623,724,000.00 "
Market Capitalisation ," 2,627,000,000.00 "," 2,539,000,000.00 "," 1,821,000,000.00 "," 2,574,000,000.00 "," 2,364,000,000.00 "
Enterprise Value ," 1,867,000,000.00 "," 1,266,000,000.00 "," 1,287,000,000.00 "," 2,048,000,000.00 "," 1,514,000,000.00 "
Issued Shares," 17,513,000.00 "," 17,513,000.00 "," 17,513,000.00 "," 17,513,000.00 "," 17,513,000.00 "
Capex," 181,000,000.00 "," 246,000,000.00 "," 624,000,000.00 "," 281,000,000.00 "," 231,000,000.00 "
